# Auto-generated by scripts/gen_vectors.py (seed=12345, n=200)
# format: data_hex parity_mode inject_bad_parity inject_bad_stop expected_outcome
# parity_mode: 1=EVEN 2=ODD  (see rtl/uart_defs.vh)
31 2 0 0 VALID
CF 1 0 1 FRAMING_ERROR
EB 2 0 0 VALID
5E 1 0 0 VALID
5A 2 0 0 VALID
7F 2 0 0 VALID
D5 2 0 0 VALID
EB 1 1 0 PARITY_ERROR
67 1 0 0 VALID
77 2 1 0 PARITY_ERROR
40 1 0 0 VALID
DA 1 0 0 VALID
37 1 0 0 VALID
12 2 1 0 PARITY_ERROR
BC 2 0 0 VALID
87 2 1 0 PARITY_ERROR
F5 1 0 0 VALID
0F 1 0 0 VALID
01 1 0 0 VALID
60 2 0 0 VALID
8B 2 0 0 VALID
99 2 0 1 FRAMING_ERROR
26 2 0 0 VALID
14 2 0 0 VALID
29 1 0 1 FRAMING_ERROR
76 2 0 0 VALID
07 1 0 0 VALID
10 2 0 0 VALID
14 1 0 0 VALID
4C 1 0 0 VALID
B7 1 1 1 BOTH_ERRORS
91 1 0 1 FRAMING_ERROR
2E 1 0 0 VALID
D1 1 0 1 FRAMING_ERROR
4D 2 1 0 PARITY_ERROR
53 2 0 0 VALID
0C 2 1 0 PARITY_ERROR
C6 2 1 0 PARITY_ERROR
08 2 0 0 VALID
17 2 0 0 VALID
98 1 0 0 VALID
1D 1 0 0 VALID
3C 1 1 0 PARITY_ERROR
11 1 0 0 VALID
6E 1 0 0 VALID
F0 1 0 0 VALID
71 2 1 0 PARITY_ERROR
53 2 1 0 PARITY_ERROR
7B 2 0 1 FRAMING_ERROR
6A 1 0 0 VALID
E9 1 1 0 PARITY_ERROR
25 1 1 0 PARITY_ERROR
3E 1 0 0 VALID
78 1 1 1 BOTH_ERRORS
73 2 0 0 VALID
E4 2 1 0 PARITY_ERROR
E6 1 0 0 VALID
BC 1 0 0 VALID
2A 2 0 0 VALID
A7 1 0 0 VALID
D9 1 0 0 VALID
C5 2 1 0 PARITY_ERROR
5A 1 0 0 VALID
8D 1 0 1 FRAMING_ERROR
F5 2 1 0 PARITY_ERROR
67 2 0 0 VALID
CB 2 0 0 VALID
80 1 0 0 VALID
68 2 0 1 FRAMING_ERROR
02 1 0 0 VALID
44 2 0 0 VALID
9C 2 0 0 VALID
DB 2 0 1 FRAMING_ERROR
CD 2 1 0 PARITY_ERROR
8F 2 0 0 VALID
F4 2 0 1 FRAMING_ERROR
51 2 0 0 VALID
32 1 0 0 VALID
A1 2 1 0 PARITY_ERROR
F4 1 1 1 BOTH_ERRORS
3E 2 0 0 VALID
03 2 0 0 VALID
07 2 0 0 VALID
8A 1 0 0 VALID
9F 2 1 0 PARITY_ERROR
A1 2 0 0 VALID
7D 2 0 0 VALID
C8 2 0 0 VALID
BF 2 0 1 FRAMING_ERROR
43 2 0 0 VALID
05 2 0 1 FRAMING_ERROR
76 2 1 1 BOTH_ERRORS
73 2 0 0 VALID
75 2 0 0 VALID
31 1 0 0 VALID
17 1 0 1 FRAMING_ERROR
40 2 0 0 VALID
6E 1 0 0 VALID
85 1 1 0 PARITY_ERROR
8D 2 0 0 VALID
C8 1 1 0 PARITY_ERROR
E0 2 1 0 PARITY_ERROR
78 2 0 0 VALID
94 1 0 0 VALID
48 1 1 0 PARITY_ERROR
6C 2 0 1 FRAMING_ERROR
18 1 0 1 FRAMING_ERROR
48 1 1 0 PARITY_ERROR
16 1 0 0 VALID
49 2 0 0 VALID
D7 1 0 0 VALID
4F 1 0 0 VALID
35 2 1 0 PARITY_ERROR
4F 1 0 0 VALID
B5 1 0 1 FRAMING_ERROR
AF 1 0 0 VALID
A9 2 0 0 VALID
53 2 0 0 VALID
56 1 0 0 VALID
E3 1 0 1 FRAMING_ERROR
83 1 0 1 FRAMING_ERROR
4F 2 0 1 FRAMING_ERROR
82 2 1 0 PARITY_ERROR
BC 2 1 0 PARITY_ERROR
C0 1 0 1 FRAMING_ERROR
37 1 0 0 VALID
5E 1 1 0 PARITY_ERROR
37 1 0 0 VALID
17 2 1 0 PARITY_ERROR
CE 2 0 0 VALID
73 1 1 0 PARITY_ERROR
DA 1 0 0 VALID
3D 2 1 0 PARITY_ERROR
86 1 0 0 VALID
9E 1 0 0 VALID
DD 2 0 0 VALID
35 2 0 0 VALID
17 2 0 0 VALID
61 1 0 1 FRAMING_ERROR
27 1 0 0 VALID
59 1 0 1 FRAMING_ERROR
34 1 0 0 VALID
1E 2 0 0 VALID
98 1 0 0 VALID
73 2 1 0 PARITY_ERROR
0C 1 1 0 PARITY_ERROR
33 2 0 0 VALID
23 1 0 0 VALID
4F 2 0 0 VALID
F0 1 1 0 PARITY_ERROR
C0 1 0 0 VALID
49 2 1 0 PARITY_ERROR
B6 1 0 0 VALID
07 2 0 0 VALID
F4 2 0 0 VALID
8B 1 0 0 VALID
0D 1 1 1 BOTH_ERRORS
A5 2 1 0 PARITY_ERROR
7A 2 0 0 VALID
4B 1 0 0 VALID
77 1 0 0 VALID
D0 1 0 0 VALID
E4 2 0 0 VALID
C7 2 0 0 VALID
D0 1 0 0 VALID
31 2 0 0 VALID
9D 1 0 0 VALID
35 2 0 0 VALID
